"Name","nearood","farood","perturb_power","delta","lambd"
"hardy-sweep-38","83.91159522064197","90.90728041662702","1.5","8.0","3.00"
"drawn-sweep-35","83.94636217881664","90.85681902806512","1.5","8.0","2.75"
"worthy-sweep-32","83.99112356032792","90.78690118545435","1.5","8.0","2.50"
"peachy-sweep-29","84.06311315922696","90.70217420438554","1.5","8.0","2.25"
"azure-sweep-26","84.1358101494751","90.58828454790893","1.5","8.0","2.00"
"giddy-sweep-23","84.20224262338489","90.45081386501204","1.5","8.0","1.75"
"cosmic-sweep-20","84.20625925866463","90.26552802625996","1.5","8.0","1.50"
"denim-sweep-17","84.16652984415687","90.0732785155935","1.5","8.0","1.25"
"wobbly-sweep-14","84.0426475998394","89.91361860536627","1.5","8.0","1.00"
"fluent-sweep-11","83.8208256668977","89.81432683013587","1.5","8.0","0.75"
"morning-sweep-8","83.55274475685779","89.7059217924857","1.5","8.0","0.50"
"rural-sweep-5","83.24374088999664","89.49232615705412","1.5","8.0","0.25"
"glad-sweep-2","82.91649961180481","89.20212892996767","1.5","8.0","0.00"
