"Name","nearood","farood","delta","lambd","perturb_power"
"stilted-sweep-52","80.66372456664811","82.86727704945994","8.0","1.5","2.50"
"stellar-sweep-51","81.35211520875062","84.13339464623179","8.0","1.5","2.40"
"solar-sweep-50","81.94872593299722","85.2531820021294","8.0","1.5","2.30"
"electric-sweep-49","82.47211754069889","86.25326736053054","8.0","1.5","2.20"
"misunderstood-sweep-48","82.91876268408367","87.12558227444593","8.0","1.5","2.10"
"winter-sweep-47","83.3008166768397","87.88813827731708","8.0","1.5","2.00"
"peach-sweep-46","83.6061279517993","88.53927158963678","8.0","1.5","1.90"
"bumbling-sweep-45","83.85167371096594","89.09865839036078","8.0","1.5","1.80"
"devoted-sweep-44","84.02951128057165","89.574369213142","8.0","1.5","1.70"
"elated-sweep-43","84.14522406621208","89.95915271474817","8.0","1.5","1.60"
"rural-sweep-42","84.20625925866463","90.26552802625996","8.0","1.5","1.50"
"visionary-sweep-41","84.21901463810619","90.5014698388925","8.0","1.5","1.40"
"desert-sweep-40","84.1845035469458","90.67690450386108","8.0","1.5","1.30"
"olive-sweep-39","84.11386683753503","90.79734776006748","8.0","1.5","1.20"
"summer-sweep-38","84.02632057529027","90.8788981607177","8.0","1.5","1.10"
"glowing-sweep-37","83.950239536993","90.9352739189861","8.0","1.5","1.00"
"cool-sweep-36","83.88711507411945","90.97303388972992","8.0","1.5","0.90"
"amber-sweep-35","83.84181199653133","90.99059877397968","8.0","1.5","0.80"
"worthy-sweep-34","83.81612828066307","90.99392245955512","8.0","1.5","0.70"
"chocolate-sweep-33","83.80704670657967","90.99525012402054","8.0","1.5","0.60"
"solar-sweep-32","83.80528646377302","90.99618251628124","8.0","1.5","0.50"
"dutiful-sweep-31","83.8041827363933","90.99556799678813","8.0","1.5","0.40"
"wise-sweep-30","83.8037639557609","90.99540894524374","8.0","1.5","0.30"
"driven-sweep-29","83.8037250581936","90.99538576074112","8.0","1.5","0.20"
"crisp-sweep-28","83.8037250581936","90.99538576074112","8.0","1.5","0.10"
"glamorous-sweep-27","","","8.0","1.5","0.00"
