"Name","nearood","farood","delta","lambd","perturb_power"
"sweet-sweep-26","75.16974253197225","75.55553505953405","8.0","0.0","2.50"
"scarlet-sweep-25","76.72298292807058","78.1205810486394","8.0","0.0","2.40"
"absurd-sweep-24","78.01887187546164","80.32678118199247","8.0","0.0","2.30"
"divine-sweep-23","79.09489057682153","82.20012735607791","8.0","0.0","2.20"
"deep-sweep-22","79.98665262508588","83.78474505149089","8.0","0.0","2.10"
"genial-sweep-21","80.72580321533387","85.11749437277453","8.0","0.0","2.00"
"ancient-sweep-20","81.33785918690377","86.23783914554896","8.0","0.0","1.90"
"happy-sweep-19","81.84138221747223","87.17899188699704","8.0","0.0","1.80"
"stellar-sweep-18","82.26017784356982","87.97086722599195","8.0","0.0","1.70"
"laced-sweep-17","82.61682008856613","88.6393268229491","8.0","0.0","1.60"
"lucky-sweep-16","82.91649961180481","89.20212892996767","8.0","0.0","1.50"
"solar-sweep-15","83.17015275609138","89.671520141114","8.0","0.0","1.40"
"sandy-sweep-14","83.38043528561053","90.05936747785327","8.0","0.0","1.30"
"lilac-sweep-13","83.55086706380064","90.37155461864056","8.0","0.0","1.20"
"rose-sweep-12","83.68279212742306","90.61611766563176","8.0","0.0","1.10"
"skilled-sweep-11","83.78190018579524","90.80518688287026","8.0","0.0","1.00"
"youthful-sweep-10","83.84901266151014","90.9443127009488","8.0","0.0","0.90"
"major-sweep-9","83.89162607745429","91.04197460006054","8.0","0.0","0.80"
"fiery-sweep-8","83.91296910161809","91.10457544178853","8.0","0.0","0.70"
"stellar-sweep-7","83.91367477966467","91.13186837273584","8.0","0.0","0.60"
"dutiful-sweep-6","83.89857611835856","91.1307683347326","8.0","0.0","0.50"
"balmy-sweep-5","83.87384681170423","91.1076562485784","8.0","0.0","0.40"
"lively-sweep-4","83.84605358773433","91.07378242050272","8.0","0.0","0.30"
"worthy-sweep-3","83.82081541475694","91.0370304438215","8.0","0.0","0.20"
"amber-sweep-2","83.805764361419","91.00853079667884","8.0","0.0","0.10"
"summer-sweep-1","","","8.0","0.0","0.00"
