"Name","nearood","farood","perturb_power","delta","lambd"
"giddy-sweep-37","83.803760885858","90.99538809466492","0.5","8.0","3.00"
"pious-sweep-34","83.80379421919133","90.99539136215826","0.5","8.0","2.75"
"young-sweep-31","83.80396676529205","90.99544227118813","0.5","8.0","2.50"
"wandering-sweep-28","83.8041367416366","90.9956476135144","0.5","8.0","2.25"
"rural-sweep-25","83.80429419197968","90.99575724348","0.5","8.0","2.00"
"comfy-sweep-22","83.8045614456544","90.9955763466819","0.5","8.0","1.75"
"vital-sweep-19","83.80528646377302","90.99618251628124","0.5","8.0","1.50"
"youthful-sweep-16","83.80677316699317","90.99699777040456","0.5","8.0","1.25"
"major-sweep-13","83.81261475112811","90.9986991060464","0.5","8.0","1.00"
"vital-sweep-10","83.83419011706799","90.99896602815532","0.5","8.0","0.75"
"iconic-sweep-7","83.89221053255005","91.002860476175","0.5","8.0","0.50"
"faithful-sweep-4","83.93566966576333","91.05776679773466","0.5","8.0","0.25"
"dainty-sweep-1","83.89857611835856","91.1307683347326","0.5","8.0","0.00"
